,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Rikitea,PF,75.36,clear sky,-23.12,-134.97,Pension Maro'i
7,Guerrero Negro,MX,71.49,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
15,Popondetta,PG,74.07,broken clouds,-8.75,148.25,Timos Transit House
16,Kapaa,US,75.2,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
17,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
19,Dolores,AR,69.51,clear sky,-36.31,-57.68,Apart Hotel - Arianos
20,Mounana,GA,77.0,few clouds,-1.41,13.16,
23,Alofi,NU,77.0,scattered clouds,-19.06,-169.92,Taloa Heights
24,Boyolangu,ID,76.87,light rain,-8.12,111.89,Yos ega cv
27,Kabanjahe,ID,78.8,light rain,3.1,98.49,Pelindung Bawah Losmen
28,Laguna,US,68.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
31,Chuy,UY,73.63,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
32,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
35,Sibolga,ID,78.57,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
37,Georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
39,Kachiry,KZ,66.85,clear sky,53.07,76.1,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
41,Kalat,PK,68.88,few clouds,29.02,66.59,Sarwary Hotel
44,Kisangani,CD,73.13,overcast clouds,0.52,25.2,Grand Ramela Hotel
48,Hilo,US,68.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
51,Huarmey,PE,73.76,scattered clouds,-10.07,-78.15,Hotel Miramar
53,Tiarei,PF,77.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
58,Hirara,JP,78.87,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
60,Dicabisagan,PH,79.88,broken clouds,17.08,122.42,
61,Nouadhibou,MR,68.74,broken clouds,20.93,-17.03,El Medina
63,Noumea,NC,71.01,clear sky,-22.28,166.46,Hôtel Le Lagon
66,Ewo,CG,73.06,overcast clouds,-0.87,14.82,Residence Elonda Ewo
67,Kutum,SD,75.65,few clouds,14.2,24.67,Dibbo areaمنطقة دبو
69,Flagstaff,US,77.0,few clouds,35.2,-111.65,Drury Inn & Suites Flagstaff
70,Nijar,ES,68.0,scattered clouds,36.97,-2.21,La Casa del Cine
73,College,US,66.0,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
75,Khandbari,NP,69.62,scattered clouds,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
76,Plettenberg Bay,ZA,68.95,clear sky,-34.05,23.37,Thanda Vista B&B
77,Kiunga,PG,74.91,broken clouds,-6.12,141.29,Airport Lodge Kiunga
80,Castro,BR,70.43,clear sky,-24.79,-50.01,CHACARA BAILLY
84,Loa Janan,ID,76.62,overcast clouds,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
86,Semnan,IR,74.88,clear sky,35.57,53.4,Semnan Tourist Hotel
87,Along,IN,66.88,broken clouds,28.17,94.77,Hotel West
89,Tautira,PF,77.0,few clouds,-17.73,-149.15,Pension Oaoa
90,Luderitz,,73.4,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
91,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
93,Port Elizabeth,ZA,68.0,clear sky,-33.92,25.57,39 On Nile Guest House
100,Port Hedland,AU,77.0,overcast clouds,-20.32,118.57,The Esplanade Hotel
101,Iguape,BR,77.23,clear sky,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
106,Nanyamba,TZ,70.47,few clouds,-10.68,39.83,Busati Lodge Nanyamba
108,Muleba,TZ,70.43,overcast clouds,-1.84,31.65,NALPHIN HOTEL
109,Tignere,CM,67.15,heavy intensity rain,7.37,12.65,SADECK
111,San Quintin,MX,69.15,scattered clouds,30.48,-115.95,Old Mill Hotel
112,Vaini,TO,71.6,few clouds,-21.2,-175.2,Keleti Beach Resort
114,Saint-Philippe,RE,71.6,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
121,Biak,ID,77.63,light rain,-0.91,122.88,Kost Ariz
128,Qui Nhon,VN,78.3,clear sky,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
130,Sun Valley,US,71.6,clear sky,39.6,-119.78,Panther Valley RV Park
131,Itamaraju,BR,75.34,broken clouds,-17.04,-39.53,Hotel Vista Bela
132,Faya,SA,71.6,clear sky,18.39,42.45,مقبرة ال مجمل
140,Port-Gentil,GA,75.2,broken clouds,-0.72,8.78,Fengshui Residence
142,Bardiyah,LY,66.61,clear sky,31.76,25.09,بورتو بردية
144,Carnarvon,AU,72.9,broken clouds,-24.87,113.63,Hospitality Carnarvon
145,Fairbanks,US,66.0,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
146,Yenagoa,NG,75.2,overcast clouds,4.92,6.26,Amba Hotels Limited
147,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
154,East London,ZA,74.14,clear sky,-33.02,27.91,Tu Casa
156,Saldanha,ZA,66.2,clear sky,-33.01,17.94,Blue Bay Lodge
158,Itarema,BR,77.86,light rain,-2.92,-39.92,Windvillage
159,Houma,US,78.01,clear sky,29.6,-90.72,Courtyard by Marriott Houma
162,Shimoda,JP,69.8,light intensity shower rain,34.67,138.95,Hotel Izukyu
163,Tura,IN,78.93,clear sky,25.52,90.22,Hotel RIKMAN Continental
164,Lamu,KE,79.36,light rain,-2.27,40.9,Lamu House
169,Arawa,PG,78.46,overcast clouds,-6.21,155.54,Coastline Guest House
172,Henties Bay,,72.25,clear sky,-22.12,14.28,Fishermans Guest House
175,Kieta,PG,79.97,overcast clouds,-6.22,155.63,
176,Avera,US,69.8,clear sky,33.19,-82.53,
177,Sibu,MY,78.8,broken clouds,2.3,111.82,RH HOTEL (4 Star)
178,Pisco,PE,71.6,clear sky,-13.7,-76.22,Hostal San Isidro Oficial
180,Auki,SB,78.78,light rain,-8.77,160.7,Auki Motel
185,Dingle,PH,79.41,overcast clouds,11.0,122.67,Camp Pasica
187,Neuquen,AR,68.0,dust,-38.95,-68.06,Hotel del Comahue
189,Ilebo,CD,73.9,overcast clouds,-4.32,20.58,Hôtel des palmes
201,Port Alfred,ZA,71.01,few clouds,-33.59,26.89,The Halyards Hotel
208,Sinnamary,GF,78.3,heavy intensity rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
209,Isangel,VU,69.75,clear sky,-19.55,169.27,Volcano Sea View Tree House
211,Katsuura,JP,70.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
213,Hasaki,JP,71.6,light intensity shower rain,35.73,140.83,Inubosaki Kanko Hotel
216,Taltal,CL,65.43,few clouds,-25.4,-70.48,Residencial Karime
227,Necochea,AR,70.0,scattered clouds,-38.55,-58.74,dyd -mar Hotel
233,Amahai,ID,78.64,light rain,-3.33,128.92,Hotel isabella
234,Santa Isabel,BR,75.2,few clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
237,Mexico,PH,78.8,broken clouds,15.06,120.72,Camp Diosdado De Leon
239,Karpathos,GR,69.8,scattered clouds,35.51,27.21,Alex
242,Kupang,ID,77.16,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
244,Ordzhonikidze,KZ,66.04,scattered clouds,52.44,61.74,Gostinitsa
247,Antalaha,MG,74.53,broken clouds,-14.9,50.28,Hotel Vitasoa
249,Korla,CN,67.41,overcast clouds,41.76,86.15,Gulisitan Hotel
250,Bengkulu,ID,77.04,light rain,-3.8,102.27,Grage Hotel Bengkulu
256,Shingu,JP,65.93,overcast clouds,33.73,135.98,Shingu UI Hotel
257,Atbasar,KZ,67.19,broken clouds,51.8,68.33,"The Ritz-Carlton, Astana"
258,Narendranagar,IN,68.85,broken clouds,30.17,78.3,Ananda In The Himalayas
263,Arraial Do Cabo,BR,77.0,clear sky,-22.97,-42.03,Pousada Porto Praia
264,Alyangula,AU,73.4,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
266,Cidreira,BR,70.92,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
268,General Pico,AR,71.35,clear sky,-35.66,-63.76,Hotel Malargue
269,Adjumani,UG,71.69,overcast clouds,3.38,31.79,Hotel Zawadi
274,Anloga,GH,77.0,thunderstorm with light rain,5.79,0.9,Dey Lodge
275,Phan Thiet,VN,78.55,few clouds,10.93,108.1,Hotel Saigon-PT
276,Ganzhou,CN,68.04,scattered clouds,28.82,115.43,Gold Jiao Hotel
280,San Isidro,PE,73.4,broken clouds,-12.12,-77.05,Radisson Hotel Decapolis Miraflores
289,Grand Gaube,MU,70.0,scattered clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
296,Vazante,BR,73.0,scattered clouds,-17.99,-46.91,Hotel Pousada e Restaurante
297,Wajir,KE,78.6,broken clouds,1.75,40.06,Al- Amin lodge
300,Rocha,UY,72.68,few clouds,-34.48,-54.33,Beleza Pura B&B
303,Sinazongwe,ZM,70.61,broken clouds,-17.26,27.46,Lakeview Lodge
305,Lasem,ID,79.29,light rain,-6.69,111.45,Kediaman Bpk Abdul Wakhid Bin Asmu'in
306,San Pedro Carcha,GT,73.62,overcast clouds,15.48,-90.27,CASA CHAJSAQUIL
313,Morehead,US,68.0,clear sky,37.27,-87.18,CCI Express Inn
315,Kifri,IQ,75.74,clear sky,34.7,44.97,میزان کفری
320,Gat,IL,70.0,clear sky,31.61,34.76,אהבה ברווחה
331,Quang Ngai,VN,75.67,clear sky,15.12,108.8,Central Hotel
333,Lemnia,RO,70.0,few clouds,46.05,26.27,Parcare Tir Restaurant - Benz-Mar
344,Bayir,TR,69.8,few clouds,37.27,28.22,Buban Otel
345,Los Llanos De Aridane,ES,73.4,clear sky,28.66,-17.92,Valle Aridane
349,Kirakira,SB,78.48,clear sky,-10.45,161.92,SanBiz Lodge
350,Gambela,ET,79.95,broken clouds,8.25,34.58,Solomon Debebe Hotel
358,Tezu,IN,76.19,clear sky,27.92,96.17,Circuit House
363,Mar Del Plata,AR,66.2,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
364,Monrovia,LR,77.0,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
365,Tabuk,PH,76.14,scattered clouds,17.42,121.44,
369,Marsh Harbour,BS,69.13,moderate rain,26.54,-77.06,Abaco Beach Resort
375,Ribeira Brava,PT,69.8,few clouds,32.65,-17.07,Hotel do Campo
376,Opuwo,,73.11,scattered clouds,-18.06,13.84,ABBA Guesthouse
378,Klyuchi,RU,67.73,few clouds,52.27,79.17,Vesolaya Mayovka
380,Lima,PE,73.4,scattered clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
389,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
393,Montepuez,MZ,67.73,few clouds,-13.13,39.0,RESIDÊNCIAL LANCHONETE
398,Cacapava Do Sul,BR,73.29,scattered clouds,-30.51,-53.49,Hotel Portal
405,Marsabit,KE,69.08,scattered clouds,2.33,37.99,Chicho Hotel
406,Adre,TD,79.9,clear sky,13.47,22.2,
409,Guadalupe,MX,68.0,haze,25.68,-100.25,Fiesta Inn Monterrey Fundidora
410,Kloulklubed,PW,77.0,overcast clouds,7.04,134.26,Storyboard Beach Resort
411,Punta Alta,AR,66.83,clear sky,-38.88,-62.07,Center Hotel Punta Alta
412,Padang,ID,78.57,light rain,-0.95,100.35,Mercure Padang
416,Ballitoville,ZA,66.2,clear sky,-29.54,31.21,Hotel Fairmont Zimbali Resort
418,Ponta Do Sol,PT,69.8,few clouds,32.67,-17.1,Hotel do Campo
419,Panzhihua,CN,72.52,clear sky,26.59,101.71,Electric Power Hotel
421,Kokopo,PG,78.69,broken clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
422,Jiangkou,CN,68.0,light rain,25.49,119.2,DFM Hotel
428,Mirabela,BR,78.8,clear sky,-16.26,-44.16,Mirassol - Hotel e Restaurante
432,Ucluelet,CA,68.0,scattered clouds,48.93,-125.55,A Snug Harbour Inn
445,North Myrtle Beach,US,71.01,clear sky,33.82,-78.68,Avista Resort
451,Nandu,CN,78.94,overcast clouds,22.85,110.82,
462,Mont-Dore,NC,71.01,clear sky,-22.28,166.58,GIte
466,Capinopolis,BR,78.66,clear sky,-18.68,-49.57,Hotel Di Roma
471,Yaan,NG,75.56,overcast clouds,7.38,8.57,
488,Havelock,US,68.0,clear sky,34.88,-76.9,Holiday Inn Express and Suites Havelock
490,Manado,ID,77.0,scattered clouds,1.49,124.85,Aryaduta Hotel
491,Aranos,,68.0,clear sky,-24.13,19.12,Ley-Lia Guest House
495,Bubaque,GW,78.46,broken clouds,11.28,-15.83,Casa Dora
499,Vila Velha,BR,78.8,few clouds,-20.33,-40.29,Hotel Vitória Palace
500,Saint-Pierre,RE,69.8,broken clouds,-21.34,55.48,Lindsey Hôtel
501,Merritt Island,US,73.99,light rain,28.54,-80.67,
502,Ilhabela,BR,74.08,clear sky,-23.78,-45.36,Ilha Flat Hotel
504,El Alto,PE,76.71,broken clouds,-4.27,-81.21,Black Marlin Lodge & Restaurant
506,Gushikawa,JP,78.8,broken clouds,26.35,127.87,Kirari Guest House
510,Inhambane,MZ,71.6,scattered clouds,-23.86,35.38,MHL Turismo SA
516,Mahajanga,MG,77.0,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
521,Quatre Cocos,MU,73.4,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
524,Naze,JP,71.6,light rain,28.37,129.48,奄美ポートタワーホテル
528,Hargeysa,SO,74.89,scattered clouds,9.56,44.06,Imperial Hotel
530,Isla Mujeres,MX,78.8,overcast clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
531,Vao,NC,71.49,few clouds,-22.67,167.48,Hotel Kou-Bugny
535,Rundu,,73.4,overcast clouds,-17.93,19.77,Millennia Estate
538,Umm Lajj,SA,76.48,scattered clouds,25.02,37.27,Tanal Hotel Apartment
541,Prince Rupert,CA,68.0,clear sky,54.32,-130.32,Crest Hotel
545,Cross Lanes,US,66.0,scattered clouds,38.42,-81.79,Mardi Gras Casino & Resort
546,Camocim,BR,79.47,moderate rain,-2.9,-40.84,Hotel Ilha do Amor
